"Longitude","Latitude","Genus","Species","x"
-109.333611,32.022072,"Quercus","emoryi",117
-109.324158,32.02375,"Quercus","emoryi",136.75
-110.770935,32.610905,"Quercus","emoryi",178.111111111111
-112.402565,34.441677,"Quercus","emoryi",137
-112.390877,34.515797,"Quercus","emoryi",202.4
-112.393097,34.524178,"Quercus","emoryi",213.434782608696
-112.391373,34.524265,"Quercus","emoryi",163
-112.497459,34.575775,"Quercus","emoryi",187
-79.057823,38.027534,"Quercus","emoryi",256
-83.360275,35.163074,"Quercus","falcata",301
-80.206207,36.064461,"Quercus","falcata",285.5
-116.902794,32.542362,"Quercus","gambelii",270.095238095238
-110.770935,32.610905,"Quercus","gambelii",224
-109.795471,34.501957,"Quercus","gambelii",74
-112.386627,34.525112,"Quercus","gambelii",150.8
-112.095329,34.584072,"Quercus","gambelii",49
-111.637695,35.219624,"Quercus","gambelii",208.48
-106.266327,35.898457,"Quercus","gambelii",175.071428571429
-112.094002,36.04726,"Quercus","gambelii",223.439024390244
-112.095001,36.04858,"Quercus","gambelii",209.971830985915
-112.132317,36.05143,"Quercus","gambelii",174.846153846154
-112.123001,36.054131,"Quercus","gambelii",213.148148148148
-112.122002,36.055099,"Quercus","gambelii",221.023255813953
-112.126648,36.058102,"Quercus","gambelii",302
-112.108002,36.060921,"Quercus","gambelii",201.953125
-112.108002,36.061069,"Quercus","gambelii",212.564516129032
-112.051849,36.19849,"Quercus","gambelii",224.466666666667
-112.051788,36.199055,"Quercus","gambelii",225.454545454545
-112.05394,36.202694,"Quercus","gambelii",232.181818181818
-80.429344,37.242546,"Quercus","gambelii",260
-107.884979,37.265465,"Quercus","gambelii",254
-107.869629,37.27232,"Quercus","gambelii",271
-107.869576,37.272655,"Quercus","gambelii",269
-107.870201,37.273243,"Quercus","gambelii",279.733333333333
-107.871201,37.273254,"Quercus","gambelii",276.041666666667
-107.867706,37.273338,"Quercus","gambelii",264.923076923077
-107.870811,37.27338,"Quercus","gambelii",268.742857142857
-107.871445,37.27351,"Quercus","gambelii",275
-107.871162,37.273815,"Quercus","gambelii",275.549707602339
-107.864624,37.274029,"Quercus","gambelii",276.470588235294
-107.867615,37.274136,"Quercus","gambelii",264
-107.872505,37.274574,"Quercus","gambelii",273.058823529412
-107.86322,37.27494,"Quercus","gambelii",277.235294117647
-107.880066,37.27528,"Quercus","gambelii",273.685714285714
-107.868408,37.275337,"Quercus","gambelii",278
-107.872528,37.275444,"Quercus","gambelii",274.818181818182
-107.872704,37.275608,"Quercus","gambelii",276.967741935484
-107.862587,37.276279,"Quercus","gambelii",272.441860465116
-107.86731,37.27631,"Quercus","gambelii",283
-107.862427,37.27652,"Quercus","gambelii",276.4
-107.873512,37.276783,"Quercus","gambelii",274.6
-107.858154,37.277576,"Quercus","gambelii",271
-107.871582,37.279793,"Quercus","gambelii",282.403846153846
-107.868538,37.280556,"Quercus","gambelii",269.066666666667
-107.869469,37.280613,"Quercus","gambelii",268.5
-107.86834,37.299713,"Quercus","gambelii",270.1
-104.690399,38.983101,"Quercus","gambelii",131.714285714286
-104.950615,39.322281,"Quercus","gambelii",144.75
-104.89093,39.498241,"Quercus","gambelii",182.6
-87.659592,42.001438,"Quercus","gambelii",259
-122.653343,38.226364,"Quercus","garryana",131.692307692308
-122.691551,38.574471,"Quercus","garryana",152.66393442623
-123.082359,39.00066,"Quercus","garryana",187.230769230769
-123.224937,39.16151,"Quercus","garryana",167.357142857143
-123.824348,40.234482,"Quercus","garryana",97.8
-122.101212,42.026035,"Quercus","garryana",212.666666666667
-123.393532,42.488136,"Quercus","garryana",118.333333333333
-122.980721,44.007465,"Quercus","garryana",310
-123.363396,44.504642,"Quercus","garryana",241
-122.858025,44.5354,"Quercus","garryana",221.290322580645
-123.431183,44.700569,"Quercus","garryana",104
-123.232376,44.759247,"Quercus","garryana",157.1
-122.907158,44.759911,"Quercus","garryana",160.409090909091
-123.106293,45.145187,"Quercus","garryana",144.666666666667
-122.773186,45.404251,"Quercus","garryana",115
-121.206909,45.529655,"Quercus","garryana",130.777777777778
-121.323334,45.659195,"Quercus","garryana",122
-122.820679,45.865017,"Quercus","garryana",162.214285714286
-123.157837,46.130814,"Quercus","garryana",143
-123.158531,46.131081,"Quercus","garryana",143
-82.424065,28.057789,"Quercus","geminata",172
-87.288864,30.327072,"Quercus","geminata",26
-70.174759,41.289158,"Quercus","ilicifolia",227.96875
-70.17202,41.290005,"Quercus","ilicifolia",218.463768115942
-70.171021,41.290436,"Quercus","ilicifolia",226.339285714286
-70.171257,41.291359,"Quercus","ilicifolia",210.916666666667
-70.170174,41.291912,"Quercus","ilicifolia",217.5
-83.309875,35.520927,"Quercus","imbricaria",155.166666666667
-95.232956,38.928684,"Quercus","imbricaria",140.166666666667
-75.353294,39.906479,"Quercus","imbricaria",316
-75.357048,39.908073,"Quercus","imbricaria",316
-73.879211,40.865597,"Quercus","imbricaria",225.642857142857
-73.879341,40.866119,"Quercus","imbricaria",185.848484848485
-73.878731,40.86668,"Quercus","imbricaria",206.7
-117.715187,34.110611,"Quercus","kelloggii",213.125
-117.662506,34.231152,"Quercus","kelloggii",205
-117.662727,34.231739,"Quercus","kelloggii",191
-117.642563,34.320202,"Quercus","kelloggii",194
-117.687317,34.36021,"Quercus","kelloggii",194
-117.69574,34.380329,"Quercus","kelloggii",210.666666666667
-117.695084,34.380562,"Quercus","kelloggii",200.5
-117.700439,34.38298,"Quercus","kelloggii",219
-117.728119,34.39196,"Quercus","kelloggii",207
-117.743782,34.398842,"Quercus","kelloggii",207
-119.417931,36.778259,"Quercus","kelloggii",179.389473684211
-122.130836,37.360928,"Quercus","kelloggii",311.333333333333
-119.558174,37.743607,"Quercus","kelloggii",100
-119.596817,37.747524,"Quercus","kelloggii",115
-119.594406,37.747635,"Quercus","kelloggii",176
-122.470375,37.767422,"Quercus","kelloggii",128
-122.653343,38.226364,"Quercus","kelloggii",218.689655172414
-120.258217,38.302135,"Quercus","kelloggii",114
-122.691551,38.574471,"Quercus","kelloggii",117.307692307692
-123.21032,39.016533,"Quercus","kelloggii",186.833333333333
-123.225639,39.16151,"Quercus","kelloggii",289.814814814815
-123.227112,39.189178,"Quercus","kelloggii",296.083333333333
-121.040863,39.203247,"Quercus","kelloggii",247
-121.058395,39.208931,"Quercus","kelloggii",77.1176470588235
-121.029388,39.268658,"Quercus","kelloggii",101
-123.373718,39.289673,"Quercus","kelloggii",97.3846153846154
-121.84552,39.730648,"Quercus","kelloggii",265
-123.824348,40.234482,"Quercus","kelloggii",102.666666666667
-123.480087,42.490433,"Quercus","kelloggii",208.642857142857
-70.384727,43.457703,"Quercus","kelloggii",263
-82.63987,27.838184,"Quercus","laurifolia",327
-82.772591,27.86834,"Quercus","laurifolia",70
-82.725639,27.929228,"Quercus","laurifolia",119.348484848485
-97.134949,27.972702,"Quercus","laurifolia",89.6363636363636
-82.718468,28.039858,"Quercus","laurifolia",48.6
-82.706299,28.045185,"Quercus","laurifolia",67.8333333333333
-82.424065,28.057789,"Quercus","laurifolia",133.5859375
-84.456657,30.040356,"Quercus","laurifolia",104.333333333333
-84.147591,30.151529,"Quercus","laurifolia",114.292682926829
-81.024376,33.995293,"Quercus","laurifolia",67
